epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,194.817,1.31349,2.96938,1.48489,0.46794,0.16667,0.08353,0.02506,3.75948,4.84727,4.0104,0.000412749,0.000412749,0.000412749
40,199.966,1.5381,2.774,1.6856,0.46794,0.16667,0.08353,0.02506,3.75948,4.84727,4.0104,0.000379743,0.000379743,0.000379743
41,205.841,1.04433,7.25428,1.28029,0.46794,0.16667,0.08353,0.02506,3.75948,4.84727,4.0104,0.000346736,0.000346736,0.000346736
42,211.547,1.08262,6.94067,1.25293,0.48159,0.16053,0.08353,0.01176,3.52059,4.86932,3.96866,0.000313729,0.000313729,0.000313729
43,217.362,1.59378,3.84808,1.69185,0.48159,0.16053,0.08353,0.01176,3.52059,4.86932,3.96866,0.000280723,0.000280723,0.000280723
44,223.185,1.22581,3.23575,1.27087,0.48159,0.16053,0.08353,0.01176,3.52059,4.86932,3.96866,0.000247716,0.000247716,0.000247716
45,228.902,1.4658,3.53417,1.89683,0.48159,0.16053,0.08353,0.01176,3.52059,4.86932,3.96866,0.00021471,0.00021471,0.00021471
46,234.741,1.29159,3.22377,1.41775,0.45911,0.15304,0.08355,0.02352,3.61463,5.00891,3.8917,0.000181703,0.000181703,0.000181703
47,240.645,1.30825,3.62516,1.54432,0.45911,0.15304,0.08355,0.02352,3.61463,5.00891,3.8917,0.000148696,0.000148696,0.000148696
48,246.491,1.29854,2.90569,1.42112,0.45911,0.15304,0.08355,0.02352,3.61463,5.00891,3.8917,0.00011569,0.00011569,0.00011569
49,252.24,1.39457,3.33595,1.49021,0.45911,0.15304,0.08355,0.02352,3.61463,5.00891,3.8917,8.26832e-05,8.26832e-05,8.26832e-05
50,257.765,1.23876,3.18267,1.36601,0.28585,0.14292,0.05609,0.01711,3.62397,4.65047,3.80359,4.96766e-05,4.96766e-05,4.96766e-05
